"Estado","% Ocupación"
"Coahuila de Zaragoza","80.00"
"Querétaro","56.25"
"Ciudad de México","53.29"
"Aguascalientes","52.38"
"Jalisco","37.64"
"Puebla","35.21"
"Nuevo León","34.14"
"Hidalgo","33.33"
"Tabasco","33.33"
"Michoacán de Ocampo","28.57"
"Tamaulipas","25.71"
"México","22.29"
"Veracruz de Ignacio de La Llave","20.96"
"San Luis Potosí","19.51"
"Yucatán","16.66"
"Zacatecas","16.66"
"Baja California","16.12"
"Chihuahua","15.38"
"Guanajuato","14.81"
"Sinaloa","14.75"
"Durango","13.33"
"Sonora","10.00"
"Guerrero","7.50"
"Chiapas","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Campeche","0.00"
"Colima","0.00"
"Oaxaca","0.00"
"Quintana Roo","0.00"
"Morelos","0.00"
"Nayarit","0.00"
