"Estado","% Ocupación"
"Aguascalientes","71.83"
"Jalisco","43.64"
"Colima","39.58"
"Ciudad de México","39.07"
"Sonora","34.92"
"Baja California","34.90"
"Nuevo León","34.33"
"Chihuahua","33.48"
"Hidalgo","30.18"
"Zacatecas","29.34"
"Morelos","27.77"
"Baja California Sur","25.88"
"México","25.75"
"Puebla","25.71"
"Nayarit","25.00"
"San Luis Potosí","24.24"
"Querétaro","22.92"
"Tlaxcala","22.72"
"Durango","22.61"
"Tamaulipas","22.59"
"Sinaloa","20.52"
"Coahuila de Zaragoza","20.00"
"Guanajuato","18.71"
"Yucatán","18.27"
"Veracruz de Ignacio de La Llave","17.80"
"Oaxaca","16.36"
"Michoacán de Ocampo","14.79"
"Guerrero","12.71"
"Tabasco","12.19"
"Quintana Roo","11.76"
"Chiapas","3.70"
"Campeche","0.81"
