"Estado","% Ocupación"
"Yucatán","100.00"
"Zacatecas","77.77"
"Aguascalientes","61.29"
"Durango","51.16"
"Baja California","50.00"
"Coahuila de Zaragoza","44.44"
"Chihuahua","44.18"
"San Luis Potosí","38.23"
"Querétaro","25.00"
"Sonora","25.00"
"Sinaloa","19.60"
"Nuevo León","19.24"
"Puebla","17.07"
"Ciudad de México","17.04"
"Guanajuato","15.38"
"Hidalgo","15.38"
"Jalisco","14.44"
"Tabasco","12.85"
"México","12.65"
"Tamaulipas","11.66"
"Oaxaca","7.69"
"Veracruz de Ignacio de La Llave","4.65"
"Quintana Roo","2.27"
"Guerrero","1.72"
"Baja California Sur","0.00"
"Chiapas","0.00"
"Campeche","0.00"
"Colima","0.00"
"Morelos","0.00"
"Michoacán de Ocampo","0.00"
"Tlaxcala","0.00"
"Nayarit","0.00"
