Estado,Hospitalizados (%),Ventilación (%),UCI y Ventilación (%),Fecha
Sinaloa,36.59,26.75,42.1,2020-08-18
Baja California,35.72,43.94,45.36,2020-08-18
Oaxaca,32,27.34,41.11,2020-08-18
Quintana Roo,31.86,33.33,48.27,2020-08-18
Durango,31.3,25,60.78,2020-08-18
Querétaro,31.09,32.97,75,2020-08-18
Guerrero,30.7,19,27.67,2020-08-18
San Luis Potosí,29.08,42.92,41.22,2020-08-18
Morelos,27.81,20.12,23.75,2020-08-18
Sonora,26.87,18.91,26.66,2020-08-18
Jalisco,24.48,33.33,37.25,2020-08-18
Chihuahua,19.44,17.11,30.37,2020-08-18
Campeche,18.27,12.23,10,2020-08-18
Tlaxcala,16.24,42.1,87.5,2020-08-18
Chiapas,14.89,14.9,30.92,2020-08-18
Nayarit,66.28,30,10,2020-08-19
Nuevo León,64.56,53.27,66.99,2020-08-19
Colima,54.6,55.67,28.57,2020-08-19
Coahuila de Zaragoza,54.23,27.84,25.42,2020-08-19
Ciudad de México,46.57,42.42,62.22,2020-08-19
Hidalgo,44.89,24.59,36.58,2020-08-19
Puebla,44.73,34.68,40.69,2020-08-19
México,43.25,36.54,47.13,2020-08-19
Veracruz de Ignacio de La Llave,42.72,33.53,48.68,2020-08-19
Tamaulipas,40.94,34.6,71.32,2020-08-19
Michoacán de Ocampo,40.07,25.67,47.61,2020-08-19
Yucatán,39.43,45.02,76,2020-08-19
Zacatecas,39.2,35.75,69.04,2020-08-19
Sinaloa,36.41,28.29,39.28,2020-08-19
Guanajuato,36.21,17.12,38.38,2020-08-19
Tabasco,35.07,31.71,38.31,2020-08-19
Baja California Sur,34.89,30.89,20,2020-08-19
Baja California,34.87,39.86,42.3,2020-08-19
Durango,32.46,38.09,67.3,2020-08-19
Quintana Roo,31.34,33.1,47.56,2020-08-19
Querétaro,30.67,34.5,75,2020-08-19
Guerrero,29.98,17.01,25.89,2020-08-19
Aguascalientes,29.93,42.85,42.16,2020-08-19
San Luis Potosí,29.8,44.71,38.73,2020-08-19
Oaxaca,28.88,26.72,42.85,2020-08-19
Morelos,26.68,21.95,21.25,2020-08-19
Sonora,26.66,19.45,23.07,2020-08-19
Jalisco,26.46,32.49,37.01,2020-08-19
Chihuahua,19.19,17.32,29.87,2020-08-19
Campeche,18.69,12.4,10,2020-08-19
Tlaxcala,17.31,40.29,87.5,2020-08-19
Chiapas,13.15,13.6,26.37,2020-08-19
Nayarit,66.84,32.47,10,2020-08-20
Nuevo León,64.79,54.37,68.7,2020-08-20
Colima,57.05,55.1,28.57,2020-08-20
Coahuila de Zaragoza,52.28,31.89,21.05,2020-08-20
Ciudad de México,45.54,41.7,63.38,2020-08-20
Puebla,44.47,33.85,36.9,2020-08-20
México,43.39,35.04,46.46,2020-08-20
Hidalgo,43.27,25,31.08,2020-08-20
Baja California Sur,43.02,27.4,20,2020-08-20
Veracruz de Ignacio de La Llave,41.23,32.56,49,2020-08-20
Tamaulipas,40.5,38.51,68,2020-08-20
Zacatecas,40.44,32.51,67.5,2020-08-20
Michoacán de Ocampo,40.27,26.1,45,2020-08-20
Yucatán,38.89,43.29,67.3,2020-08-20
Sinaloa,37.53,30.56,37.07,2020-08-20
Baja California,36.66,40.43,48.51,2020-08-20
Guanajuato,36.66,17.16,36.36,2020-08-20
Tabasco,36.06,30.25,35.71,2020-08-20
Durango,31.56,32.63,58.06,2020-08-20
Quintana Roo,31.53,30.3,45.05,2020-08-20
Querétaro,31.5,32.5,75,2020-08-20
San Luis Potosí,29.98,43.34,41.28,2020-08-20
Oaxaca,28.87,27.45,44.08,2020-08-20
Guerrero,28.08,16.25,25.89,2020-08-20
Sonora,26.6,18.71,26.37,2020-08-20
Aguascalientes,25,46.6,56.16,2020-08-20
Jalisco,24.69,34.24,38.73,2020-08-20
Morelos,24.26,20.6,21.11,2020-08-20
Chihuahua,22.01,16.72,27.05,2020-08-20
Campeche,18.81,8.75,12.5,2020-08-20
Tlaxcala,16.66,41.17,87.5,2020-08-20
Chiapas,11.43,11.56,22.72,2020-08-20
Nayarit,67.91,26.27,10,2020-08-21
Nuevo León,65.28,55.21,67.47,2020-08-21
Hidalgo,54.1,25.33,38.37,2020-08-21
Coahuila de Zaragoza,53.1,33.03,33.33,2020-08-21
Colima,52.22,62,31.81,2020-08-21
Puebla,43.66,32.91,36.47,2020-08-21
Ciudad de México,43.43,40.86,63.59,2020-08-21
México,41.29,34.14,48.68,2020-08-21
Veracruz de Ignacio de La Llave,40.94,32.47,52.38,2020-08-21
Michoacán de Ocampo,40.38,28.14,46.34,2020-08-21
Baja California Sur,39.6,28.43,20.51,2020-08-21
Zacatecas,39.04,34.96,68.29,2020-08-21
Yucatán,38.31,39.46,61.36,2020-08-21
Tamaulipas,38.15,37.41,64.8,2020-08-21
Sinaloa,37.02,31.57,33.7,2020-08-21
Tabasco,36.6,31.03,38.88,2020-08-21
Baja California,36.11,37.68,47.47,2020-08-21
Guanajuato,35.24,17.16,35.86,2020-08-21
Durango,32.99,37.36,60.65,2020-08-21
Querétaro,31.78,34.39,77.41,2020-08-21
San Luis Potosí,30.75,43.71,39.44,2020-08-21
Guerrero,29.73,13.53,23.21,2020-08-21
Quintana Roo,29.06,31.14,45.16,2020-08-21
Oaxaca,26.9,25.81,44.44,2020-08-21
Aguascalientes,26.04,51,57.31,2020-08-21
Sonora,25.27,20.07,26.66,2020-08-21
Morelos,25.21,24.5,25.92,2020-08-21
Jalisco,24.26,33.33,39.05,2020-08-21
Chihuahua,20.73,17.39,32.91,2020-08-21
Campeche,16.41,12.4,24.44,2020-08-21
Tlaxcala,15.24,38.34,75,2020-08-21
Chiapas,11.34,11.15,23.33,2020-08-21
Nayarit,66.66,24.36,9.67,2020-08-22
Nuevo León,63.56,56.9,68.24,2020-08-22
Colima,56.84,61,34.78,2020-08-22
Hidalgo,54.89,22.42,36.04,2020-08-22
Coahuila de Zaragoza,47.43,32.75,35.71,2020-08-22
Puebla,42.74,34.14,39.53,2020-08-22
Ciudad de México,42.73,40.62,64.25,2020-08-22
Veracruz de Ignacio de La Llave,39.34,30.53,49.29,2020-08-22
Tamaulipas,38.91,33.33,72.54,2020-08-22
Michoacán de Ocampo,38.87,25.83,40,2020-08-22
México,38.48,32.64,41.32,2020-08-22
Baja California Sur,38.31,26.72,20,2020-08-22
Sinaloa,36.2,32.06,38.46,2020-08-22
Yucatán,35.69,34.28,65.78,2020-08-22
Zacatecas,35.55,35.18,68.29,2020-08-22
Durango,35.22,38.29,60,2020-08-22
San Luis Potosí,34.07,23.27,42.3,2020-08-22
Guanajuato,33.16,17.42,36.36,2020-08-22
Baja California,33.08,37.36,41.81,2020-08-22
Quintana Roo,30.67,27.27,42.69,2020-08-22
Oaxaca,30.56,27.58,44.08,2020-08-22
Tabasco,29.73,30.18,41.77,2020-08-22
Morelos,28.04,21.83,32.09,2020-08-22
Guerrero,27.95,13.98,23,2020-08-22
Sonora,27.58,19.72,29.33,2020-08-22
Querétaro,27.41,34.27,77.41,2020-08-22
Aguascalientes,26.41,47.9,58.82,2020-08-22
Jalisco,25.35,32.53,38.88,2020-08-22
Chihuahua,21.43,19.43,35,2020-08-22
Campeche,16.44,11.76,12.82,2020-08-22
Tlaxcala,13.85,38.63,87.5,2020-08-22
Chiapas,11.36,10.48,20,2020-08-22
Nayarit,68.25,22.03,6.66,2020-08-23
Nuevo León,64.37,57.95,70.52,2020-08-23
Colima,58.63,62,36.36,2020-08-23
Hidalgo,53.87,24.76,36.9,2020-08-23
Puebla,45.23,30.82,40.69,2020-08-23
Coahuila de Zaragoza,44.86,37.77,45.71,2020-08-23
Ciudad de México,43.74,43.64,65.48,2020-08-23
Michoacán de Ocampo,41.88,26.03,36.53,2020-08-23
Baja California Sur,39.61,26.48,20,2020-08-23
México,38.75,33.72,42,2020-08-23
Tamaulipas,38.29,31.42,72.89,2020-08-23
Veracruz de Ignacio de La Llave,37.79,30.87,49.24,2020-08-23
Yucatán,37.61,37.5,58.82,2020-08-23
Sinaloa,35.93,28.3,37.23,2020-08-23
Zacatecas,34.17,33.54,69.04,2020-08-23
Guanajuato,33.91,16.73,44.3,2020-08-23
Baja California,33.33,40.79,42.05,2020-08-23
Oaxaca,32.8,28.57,53.57,2020-08-23
Tabasco,31.46,29.36,33.55,2020-08-23
Quintana Roo,31.38,26.52,43.42,2020-08-23
Durango,30.9,34.69,50.84,2020-08-23
Aguascalientes,30.83,51.72,61.36,2020-08-23
San Luis Potosí,29.41,41.2,38.59,2020-08-23
Guerrero,28.52,12.77,21.29,2020-08-23
Sonora,27.79,18.61,25.28,2020-08-23
Morelos,26.89,23.07,28.12,2020-08-23
Querétaro,25.88,31.09,77.41,2020-08-23
Jalisco,25.19,33.33,42.47,2020-08-23
Chihuahua,23.2,23.22,44.7,2020-08-23
Campeche,15.15,9.62,12.82,2020-08-23
Tlaxcala,15.13,34.81,87.5,2020-08-23
Chiapas,11.72,10.4,21.17,2020-08-23
Nayarit,70,20.51,6.66,2020-08-24
Colima,66.15,54.54,36.36,2020-08-24
Nuevo León,61.94,55.85,75,2020-08-24
Hidalgo,54.45,26.85,32.94,2020-08-24
Coahuila de Zaragoza,47.95,32.93,31.34,2020-08-24
Puebla,44.58,37.73,40,2020-08-24
Ciudad de México,44.13,43.12,64.82,2020-08-24
Michoacán de Ocampo,42.25,27.9,46.8,2020-08-24
México,40.46,35.35,46.08,2020-08-24
Veracruz de Ignacio de La Llave,39.68,29.49,52,2020-08-24
Baja California Sur,38.88,24.65,20,2020-08-24
Tamaulipas,37.31,30.43,61.47,2020-08-24
Zacatecas,36.11,31.87,71.73,2020-08-24
Yucatán,35.94,36.17,60,2020-08-24
Sinaloa,35.74,31.32,36.55,2020-08-24
Durango,34.34,39.17,56.66,2020-08-24
Guanajuato,33.55,15.45,38.46,2020-08-24
Baja California,31.5,42.64,46,2020-08-24
Aguascalientes,30.37,55.82,65.26,2020-08-24
Tabasco,30.32,28.69,32.23,2020-08-24
San Luis Potosí,30.17,41.29,37.61,2020-08-24
Guerrero,28.83,15.02,24.1,2020-08-24
Quintana Roo,28.66,26.27,38.82,2020-08-24
Oaxaca,27.52,25.21,51.02,2020-08-24
Jalisco,26.67,34.02,42.89,2020-08-24
Querétaro,26.36,30.49,77.41,2020-08-24
Morelos,26.07,22.81,35.8,2020-08-24
Sonora,25.97,18.31,23.07,2020-08-24
Chihuahua,25.06,22.35,40.69,2020-08-24
Tlaxcala,14.93,35.33,62.5,2020-08-24
Campeche,13.85,6.76,12.82,2020-08-24
Chiapas,11.41,12.5,27.27,2020-08-24
Nayarit,67.74,22.41,6.66,2020-08-25
Colima,66.31,51.04,61.76,2020-08-25
Nuevo León,62.89,56.54,66.35,2020-08-25
Hidalgo,55.26,22.83,31.39,2020-08-25
Coahuila de Zaragoza,47.11,32.08,24.44,2020-08-25
Ciudad de México,45.49,41.93,62.9,2020-08-25
Michoacán de Ocampo,42.96,28.35,45.65,2020-08-25
Puebla,41.38,38.39,41.86,2020-08-25
Zacatecas,41.3,32.48,80,2020-08-25
México,40.59,33.63,45.85,2020-08-25
Veracruz de Ignacio de La Llave,39.47,29.22,51.74,2020-08-25
Baja California Sur,38.81,23.5,20,2020-08-25
Tamaulipas,37.31,27.02,57.81,2020-08-25
Sinaloa,35.91,29,30.1,2020-08-25
Durango,35.71,38.83,60.65,2020-08-25
Yucatán,34.59,33.18,57.14,2020-08-25
Guanajuato,33.86,14.77,39.79,2020-08-25
Aguascalientes,31.52,55.38,65.62,2020-08-25
Tabasco,31,28.27,32.23,2020-08-25
Baja California,30.62,41.85,47.42,2020-08-25
San Luis Potosí,29.45,40.7,38.53,2020-08-25
Guerrero,29.28,13.23,27.67,2020-08-25
Oaxaca,28.57,26.44,43.87,2020-08-25
Querétaro,27.82,32.98,77.41,2020-08-25
Sonora,27.75,16.45,29.16,2020-08-25
Quintana Roo,26.28,26.11,38.55,2020-08-25
Jalisco,26.07,30.1,38.1,2020-08-25
Chihuahua,24.46,20.46,35.63,2020-08-25
Morelos,23.68,20.42,29.57,2020-08-25
Tlaxcala,15.75,34.81,75,2020-08-25
Campeche,14,6.06,10.25,2020-08-25
Chiapas,12.71,10.8,23.07,2020-08-25
Nayarit,68.2,19.13,3.33,2020-08-26
Nuevo León,61.31,56.65,65.92,2020-08-26
Colima,55.73,55.42,85.71,2020-08-26
Coahuila de Zaragoza,47.92,32.23,31.25,2020-08-26
Hidalgo,47.04,20.31,30.23,2020-08-26
Ciudad de México,46.64,43.14,64.56,2020-08-26
México,42.74,33.05,45.81,2020-08-26
Michoacán de Ocampo,42.23,25.48,45.65,2020-08-26
Puebla,39.43,39.93,39.75,2020-08-26
Zacatecas,39.13,33.97,80,2020-08-26
Veracruz de Ignacio de La Llave,38.45,30.75,51.4,2020-08-26
Tamaulipas,35.83,28.37,61.66,2020-08-26
Durango,35.78,40.62,64.51,2020-08-26
Yucatán,35.77,28.37,52,2020-08-26
Sinaloa,35.55,27.96,31.11,2020-08-26
Baja California Sur,33.22,24.53,20,2020-08-26
Guanajuato,32.92,14.16,30.3,2020-08-26
Baja California,32.34,40.15,46.07,2020-08-26
Aguascalientes,32.16,52.23,61.7,2020-08-26
Oaxaca,29.13,27.34,43,2020-08-26
Querétaro,28.2,33.56,78.12,2020-08-26
Morelos,28.07,21.29,34.56,2020-08-26
San Luis Potosí,27.69,38.77,33.94,2020-08-26
Tabasco,27.09,28.81,34.21,2020-08-26
Guerrero,26.95,11.96,25.89,2020-08-26
Sonora,26.53,15.08,23.07,2020-08-26
Quintana Roo,25.07,25.6,35.8,2020-08-26
Jalisco,24.74,31.81,41.61,2020-08-26
Chihuahua,23.12,20.17,31.34,2020-08-26
Tlaxcala,18.05,32.33,75,2020-08-26
Campeche,13,8.27,7.5,2020-08-26
Chiapas,11.89,8.92,20.45,2020-08-26
Nayarit,62.43,24.39,0,2020-08-27
Colima,59.51,52.88,39.13,2020-08-27
Nuevo León,57.41,54.95,62.61,2020-08-27
Hidalgo,56.12,25.67,30.12,2020-08-27
Ciudad de México,47.06,41.08,64.31,2020-08-27
Coahuila de Zaragoza,46.03,35.18,38.46,2020-08-27
Michoacán de Ocampo,41.91,25.45,47.91,2020-08-27
México,41.17,33.61,44,2020-08-27
Baja California Sur,39.45,20.38,17.94,2020-08-27
Veracruz de Ignacio de La Llave,39.33,30.44,53.17,2020-08-27
Zacatecas,37.67,33.12,76.47,2020-08-27
Puebla,37.44,40,41.46,2020-08-27
Durango,35.03,37.62,58.92,2020-08-27
Sinaloa,33.79,27.82,29.21,2020-08-27
Yucatán,33.14,29.79,54,2020-08-27
Tamaulipas,32.72,27.68,59.83,2020-08-27
Aguascalientes,32.39,51.57,64.04,2020-08-27
Guanajuato,31.13,15.03,30.3,2020-08-27
Baja California,30.32,40.3,48.95,2020-08-27
Querétaro,28.81,32.16,75,2020-08-27
Oaxaca,28.54,26.63,45.05,2020-08-27
San Luis Potosí,27.12,39.1,30.55,2020-08-27
Tabasco,26.99,23.37,29.6,2020-08-27
Morelos,26.13,20.38,30.86,2020-08-27
Guerrero,25.74,12.98,27.67,2020-08-27
Chihuahua,25.34,21.11,35.36,2020-08-27
Sonora,24.96,15.64,21.79,2020-08-27
Quintana Roo,24.5,22.61,38.09,2020-08-27
Jalisco,24.16,31.35,41.49,2020-08-27
Tlaxcala,17.66,29.32,75,2020-08-27
Campeche,12.83,9.77,7.5,2020-08-27
Chiapas,12.44,8.67,21.59,2020-08-27
Nuevo León,63.09,58.66,64.76,2020-08-28
Colima,56.15,52.42,39.13,2020-08-28
Nayarit,52.71,16.08,3.33,2020-08-28
Hidalgo,52.42,27.67,28.91,2020-08-28
Ciudad de México,46.37,43.48,65.17,2020-08-28
Coahuila de Zaragoza,44.79,34.48,37.77,2020-08-28
Michoacán de Ocampo,40.16,26.25,44.44,2020-08-28
Veracruz de Ignacio de La Llave,40.13,32.25,53.69,2020-08-28
Zacatecas,39.03,31.21,78.57,2020-08-28
México,38.03,31.93,43.49,2020-08-28
Puebla,36.78,39.02,37.8,2020-08-28
Durango,36.3,36.17,65.62,2020-08-28
Tamaulipas,34.11,25.5,60.65,2020-08-28
Sinaloa,32.89,28.68,31.39,2020-08-28
Yucatán,32.47,25.71,53.19,2020-08-28
Baja California Sur,32.11,26.72,17.94,2020-08-28
Guanajuato,31.68,15.74,28.57,2020-08-28
Baja California,31.53,43.51,52.52,2020-08-28
Oaxaca,31.25,27.58,51.16,2020-08-28
Aguascalientes,31.14,50.51,58.13,2020-08-28
Morelos,28.83,17.53,27.5,2020-08-28
Querétaro,28.74,33.79,75,2020-08-28
Sonora,27.92,12.33,24.17,2020-08-28
San Luis Potosí,26.66,38.91,29.9,2020-08-28
Tabasco,25.65,25.1,30.92,2020-08-28
Guerrero,25.58,14.77,23.4,2020-08-28
Quintana Roo,24.83,22.45,37.03,2020-08-28
Chihuahua,24.74,21.15,36.58,2020-08-28
Jalisco,23.74,30.57,39.67,2020-08-28
Tlaxcala,19.49,28.03,75,2020-08-28
Campeche,11.14,13.23,10,2020-08-28
Chiapas,10.9,8.4,20.54,2020-08-28
Nuevo León,62.54,55.64,65.39,2020-08-29
Nayarit,52.44,20.56,3.33,2020-08-29
Hidalgo,50.08,26.9,32.53,2020-08-29
Ciudad de México,46.54,41.52,66.29,2020-08-29
Colima,45.41,50,39.13,2020-08-29
Coahuila de Zaragoza,43.64,32.9,30,2020-08-29
Veracruz de Ignacio de La Llave,40.75,31.98,51.44,2020-08-29
Zacatecas,39.2,33.54,82.75,2020-08-29
Michoacán de Ocampo,38.71,26.73,51.42,2020-08-29
México,38.52,29.25,36.91,2020-08-29
Puebla,36.65,31.14,36.7,2020-08-29
Durango,35.97,30.86,55.55,2020-08-29
Morelos,34.81,16.1,38,2020-08-29
Tamaulipas,33.15,25.17,65.65,2020-08-29
Yucatán,32.86,25.98,57.14,2020-08-29
Baja California,32.31,44.57,52.29,2020-08-29
Sinaloa,31.8,32.25,33.72,2020-08-29
Guanajuato,31.57,15.4,28.57,2020-08-29
Oaxaca,30.58,26.83,48.91,2020-08-29
Aguascalientes,29.86,50.71,61.7,2020-08-29
Baja California Sur,29.05,29.22,20,2020-08-29
Querétaro,27.16,33.21,75,2020-08-29
San Luis Potosí,27.03,40.7,31.68,2020-08-29
Tabasco,26.95,22.7,29.6,2020-08-29
Sonora,26.43,14.09,26.92,2020-08-29
Quintana Roo,26.24,22.26,35.44,2020-08-29
Chihuahua,25.31,20.7,45.78,2020-08-29
Guerrero,25.25,12.71,22.32,2020-08-29
Jalisco,23.06,30.63,37.83,2020-08-29
Campeche,14.01,26.92,28.57,2020-08-29
Tlaxcala,11.62,27.06,75,2020-08-29
Chiapas,10.97,8.36,16.04,2020-08-29
Nuevo León,62.77,53.33,63.43,2020-08-30
Nayarit,59.9,22.48,0,2020-08-30
Hidalgo,52.62,26.22,31.32,2020-08-30
Colima,46.87,54.73,75,2020-08-30
Ciudad de México,45.72,44.54,71.81,2020-08-30
Veracruz de Ignacio de La Llave,40.52,31.8,51.16,2020-08-30
Coahuila de Zaragoza,39.7,31.55,26.56,2020-08-30
Aguascalientes,39.37,41.48,12.12,2020-08-30
Puebla,38.65,31.12,39.5,2020-08-30
Durango,38.24,38.2,62.9,2020-08-30
Zacatecas,37.57,32.9,83.33,2020-08-30
Michoacán de Ocampo,37.32,27.3,34.88,2020-08-30
México,37.04,27.97,35.51,2020-08-30
Tamaulipas,34.21,26.05,65.26,2020-08-30
Morelos,32.22,17.98,32.5,2020-08-30
Sinaloa,32.06,33.05,33.7,2020-08-30
Yucatán,31.63,30.83,70.66,2020-08-30
Guanajuato,31.45,15.72,32.91,2020-08-30
Baja California,31.03,41.17,48.62,2020-08-30
Querétaro,28.24,30.28,71.87,2020-08-30
Baja California Sur,28.23,27.39,20,2020-08-30
Oaxaca,27.94,26.95,48.27,2020-08-30
San Luis Potosí,27.03,39.4,29.41,2020-08-30
Chihuahua,26.77,17.09,35.61,2020-08-30
Quintana Roo,26.63,21.66,36.7,2020-08-30
Sonora,26.08,12.24,21.97,2020-08-30
Guerrero,25.33,12.01,25,2020-08-30
Tabasco,24.03,27.8,34.21,2020-08-30
Jalisco,23.52,32.44,35.36,2020-08-30
Tlaxcala,12.12,24.62,62.5,2020-08-30
Chiapas,9.63,9.77,18.07,2020-08-30
Campeche,9.07,11.36,7.89,2020-08-30
Nuevo León,64.65,55.44,67.37,2020-08-31
Nayarit,60.47,19.84,0,2020-08-31
Colima,55.02,50.96,39.13,2020-08-31
Hidalgo,54.27,26.75,37.64,2020-08-31
Ciudad de México,46.63,43.65,65.04,2020-08-31
Coahuila de Zaragoza,41.93,29.66,23.72,2020-08-31
Zacatecas,40.71,34.21,87.5,2020-08-31
Veracruz de Ignacio de La Llave,39.69,32.41,56.2,2020-08-31
Durango,38.25,32.63,59.37,2020-08-31
Puebla,38.05,38.06,43.9,2020-08-31
Michoacán de Ocampo,38.02,29.18,40.9,2020-08-31
México,35.59,30.77,38.05,2020-08-31
Aguascalientes,35.58,48.11,55.29,2020-08-31
Tamaulipas,33.71,24.83,57.5,2020-08-31
Baja California,33.24,36.64,49.51,2020-08-31
Sinaloa,32.82,34.34,40.25,2020-08-31
Guanajuato,31.21,13.17,26.26,2020-08-31
Guerrero,31.18,13.3,27.1,2020-08-31
Yucatán,30.77,29.31,57.14,2020-08-31
Morelos,28.84,19.71,27.14,2020-08-31
Baja California Sur,27.75,29.9,20,2020-08-31
Oaxaca,26.72,25.21,38.29,2020-08-31
San Luis Potosí,26.56,40.37,25.68,2020-08-31
Quintana Roo,26.45,22.14,35.89,2020-08-31
Chihuahua,26.41,19.39,43.05,2020-08-31
Querétaro,26.35,29.22,71.87,2020-08-31
Sonora,24.9,14.37,20.87,2020-08-31
Jalisco,23.62,32.54,40,2020-08-31
Tabasco,21.42,29.78,34.21,2020-08-31
Tlaxcala,11.69,27.27,62.5,2020-08-31
Campeche,10.51,8.27,7.69,2020-08-31
Chiapas,9.72,8.1,14.81,2020-08-31
Nuevo León,61.29,53.7,66.9,2020-09-01
Nayarit,57.42,18.43,0,2020-09-01
Hidalgo,51.52,26.78,32.53,2020-09-01
Colima,50.76,45.37,33.33,2020-09-01
Ciudad de México,47.03,41.8,60.65,2020-09-01
Coahuila de Zaragoza,43.35,27.58,29.16,2020-09-01
Michoacán de Ocampo,40.8,27.3,51.28,2020-09-01
Durango,39.28,39.08,71.64,2020-09-01
Veracruz de Ignacio de La Llave,39.27,31.07,54.1,2020-09-01
Zacatecas,37.46,32.67,93.1,2020-09-01
México,37,31.48,40.69,2020-09-01
Puebla,36.68,36.84,41.37,2020-09-01
Sinaloa,34.2,27.27,32.35,2020-09-01
Aguascalientes,33.93,50.45,55.55,2020-09-01
Tamaulipas,33.47,25.92,65.41,2020-09-01
Guanajuato,30.91,13.87,24.24,2020-09-01
Baja California,29.52,35.47,44.44,2020-09-01
Guerrero,29.34,13.08,23.21,2020-09-01
Yucatán,29.21,29.08,60.86,2020-09-01
Oaxaca,27.85,25,36.84,2020-09-01
Querétaro,27.79,31.11,71.87,2020-09-01
Quintana Roo,27.19,23.74,38.57,2020-09-01
Morelos,26.7,18.7,30,2020-09-01
San Luis Potosí,26.17,39.3,31.42,2020-09-01
Chihuahua,25.67,21.05,43.82,2020-09-01
Baja California Sur,24.66,27.1,20,2020-09-01
Sonora,23.97,14.37,20.93,2020-09-01
Jalisco,23.39,31.83,40.63,2020-09-01
Tabasco,22.97,25.63,29.6,2020-09-01
Campeche,11.48,7.4,5,2020-09-01
Tlaxcala,11.21,27.06,62.5,2020-09-01
Chiapas,9.57,7.72,13.58,2020-09-01
Nuevo León,57.31,51.28,64.31,2020-09-02
Nayarit,57.28,18.7,0,2020-09-02
Colima,51.53,44.44,16.66,2020-09-02
Hidalgo,50,28.84,40.32,2020-09-02
Ciudad de México,46.71,40.7,63.1,2020-09-02
Coahuila de Zaragoza,41.43,27.55,37.2,2020-09-02
Michoacán de Ocampo,39.81,25.27,42.55,2020-09-02
México,38.87,29.97,37,2020-09-02
Veracruz de Ignacio de La Llave,38.38,31.66,49.37,2020-09-02
Durango,37.21,32.18,68.65,2020-09-02
Aguascalientes,35,49.04,53.57,2020-09-02
Zacatecas,34.92,31.84,85.18,2020-09-02
Tamaulipas,33.58,24.66,61.9,2020-09-02
Puebla,32.84,36.76,42.35,2020-09-02
Sinaloa,32.64,28.45,28.57,2020-09-02
Querétaro,30.38,30.71,75,2020-09-02
Baja California,29.77,35.33,45.36,2020-09-02
Guerrero,29.41,12.25,23.21,2020-09-02
Morelos,29.35,14.78,25,2020-09-02
Guanajuato,29.08,13.69,26.6,2020-09-02
Yucatán,28.99,31.16,66,2020-09-02
Oaxaca,28.25,24.11,36.08,2020-09-02
Quintana Roo,25.04,23.94,33.33,2020-09-02
Chihuahua,24.49,21.31,43.29,2020-09-02
Baja California Sur,24.22,26.88,0,2020-09-02
San Luis Potosí,23.77,35.78,27.67,2020-09-02
Jalisco,23.69,30.4,40.8,2020-09-02
Tabasco,23.58,24.45,26.31,2020-09-02
Sonora,21.11,13.88,25,2020-09-02
Tlaxcala,12.66,18.79,62.5,2020-09-02
Campeche,11.39,6.76,7.5,2020-09-02
Chiapas,8.05,6.94,11.39,2020-09-02
Nayarit,57.07,21.01,0,2020-09-03
Nuevo León,56.38,49.6,63.7,2020-09-03
Hidalgo,49.15,25.67,30.76,2020-09-03
Colima,48.2,43.63,16.66,2020-09-03
Ciudad de México,46.42,45.18,70.27,2020-09-03
Coahuila de Zaragoza,41.25,33.51,32.55,2020-09-03
Veracruz de Ignacio de La Llave,39.49,30.02,58.22,2020-09-03
Michoacán de Ocampo,38.53,24.72,44.68,2020-09-03
México,36.95,30.3,37.71,2020-09-03
Durango,36.21,35.29,61.66,2020-09-03
Aguascalientes,34.31,49.76,51.76,2020-09-03
Puebla,33.64,34.74,41.86,2020-09-03
Tamaulipas,32.84,29.18,55.95,2020-09-03
Zacatecas,32.2,32.05,88.88,2020-09-03
Sinaloa,32.18,30.83,34.73,2020-09-03
Guerrero,30.86,12.03,20.56,2020-09-03
Querétaro,30.52,32.26,75,2020-09-03
Baja California,29.3,35.98,54.54,2020-09-03
Guanajuato,28.87,14.08,28.7,2020-09-03
Yucatán,27.76,31.71,68.62,2020-09-03
Oaxaca,27.12,25.3,35.35,2020-09-03
Quintana Roo,25.36,24.17,32.81,2020-09-03
Baja California Sur,25.08,24.46,0,2020-09-03
San Luis Potosí,24.58,35.6,29.82,2020-09-03
Chihuahua,24.35,20.24,43.33,2020-09-03
Morelos,24.26,18.49,30,2020-09-03
Tabasco,23.62,24.22,28.76,2020-09-03
Jalisco,23,30.12,39.57,2020-09-03
Sonora,21.05,11.98,25.92,2020-09-03
Tlaxcala,11.79,21.37,75,2020-09-03
Campeche,10.97,9.55,7.5,2020-09-03
Chiapas,8.59,5.07,9.58,2020-09-03
Nuevo León,59.55,43.53,60.99,2020-09-04
Nayarit,57.21,17.85,0,2020-09-04
Colima,52.19,44.44,16.66,2020-09-04
Hidalgo,49.74,25.11,29.48,2020-09-04
Ciudad de México,46.18,41.69,66.78,2020-09-04
Coahuila de Zaragoza,43.45,28.7,20.31,2020-09-04
México,37.91,30.2,42.35,2020-09-04
Veracruz de Ignacio de La Llave,37.37,29.83,50.76,2020-09-04
Durango,37.13,37.93,71.64,2020-09-04
Michoacán de Ocampo,37.01,23.74,32.5,2020-09-04
Puebla,33.7,34.27,40.44,2020-09-04
Aguascalientes,33.56,48.61,53.08,2020-09-04
Sinaloa,31.26,30.03,27.65,2020-09-04
Tamaulipas,30.72,28.82,63.72,2020-09-04
Zacatecas,30.48,34.39,90.32,2020-09-04
Baja California,30.26,40.93,54.16,2020-09-04
